,Movement,Time_in,timesfm,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
82,EBL,2023-04-06 20:30:00-04:00,0.008857237,0.0,0.0,0.0018599712,4.910375e-05,0.008857237,0.013953369,0.03215123,0.5589448,1.7482687
83,EBL,2023-04-06 20:45:00-04:00,0.0011743056,0.0,0.0,0.0,0.0,0.0011743056,0.012246703,0.029820338,0.5847906,1.7611041
84,EBL,2023-04-06 21:00:00-04:00,0.011935624,0.0,0.0013376654,0.010520451,0.0027280834,0.011935624,0.009128857,0.025759421,0.5885724,1.77402
85,EBL,2023-04-06 21:15:00-04:00,0.010844754,0.004742218,0.0039152526,0.0036229477,0.008695057,0.010844754,0.0134962965,0.027160589,0.589942,1.7795713
86,EBL,2023-04-06 21:30:00-04:00,0.016025275,0.005167006,0.0071155494,0.006356652,0.015380364,0.016025275,0.023826364,0.047499187,0.6102467,1.8161546
87,EBL,2023-04-06 21:45:00-04:00,0.012250001,0.0,0.0067002582,0.0014105232,0.010816753,0.012250001,0.014640724,0.050272003,0.6492898,1.8360219
88,EBL,2023-04-06 22:00:00-04:00,0.0144167915,0.0,0.004762586,0.0,0.010020004,0.0144167915,0.020687668,0.054659493,0.67203563,1.86724
89,EBL,2023-04-06 22:15:00-04:00,0.007887334,0.0,0.0,0.0,0.0,0.007887334,0.014628813,0.05192233,0.6773081,1.895947
90,EBL,2023-04-06 22:30:00-04:00,0.0,0.0,0.0,0.0,0.0016647028,0.0,0.0075207036,0.058647037,0.6805656,1.8963923
91,EBL,2023-04-06 22:45:00-04:00,0.0009782149,0.0,0.0,0.0,0.0,0.0009782149,0.008701691,0.052002463,0.68364125,1.9189013
92,EBL,2023-04-06 23:00:00-04:00,0.007831737,0.0,0.0,0.001084269,0.0056432635,0.007831737,0.01260462,0.05716704,0.7034412,1.9176605
93,EBL,2023-04-06 23:15:00-04:00,0.0115608405,0.0,0.0,0.00087001966,0.0,0.0115608405,0.016010098,0.06529341,0.7200722,1.9293574
94,EBL,2023-04-06 23:30:00-04:00,0.008955772,0.0002084109,0.0072935517,0.0028956812,0.010488118,0.008955772,0.023145694,0.080305465,0.74353737,1.9585811
95,EBL,2023-04-06 23:45:00-04:00,0.014711288,0.0,0.0,0.0,0.0030225348,0.014711288,0.016894957,0.07544233,0.75760216,1.9574705
96,EBR,2023-04-06 00:00:00-04:00,0.0064289994,0.0,0.0,0.0026615472,0.0024990067,0.0064289994,0.010987054,0.014471035,0.023805179,0.030428387
97,EBR,2023-04-06 00:15:00-04:00,0.006021325,0.0,0.00469481,0.0036608097,0.006000469,0.006021325,0.01577822,0.015575636,0.015412398,0.028275046
98,EBR,2023-04-06 00:30:00-04:00,0.010966946,0.0,0.0,0.0013583493,0.0074211317,0.010966946,0.017198496,0.010703852,0.01679463,0.031579994
99,EBR,2023-04-06 00:45:00-04:00,0.004726234,0.0,0.0,0.0,0.00018150266,0.004726234,0.010789781,0.014364195,0.011105778,0.026577383
100,EBR,2023-04-06 01:00:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.011548417,0.012443258,0.016385281,0.02977546
101,EBR,2023-04-06 01:15:00-04:00,0.0040561287,0.0,0.0,0.0,0.0038893125,0.0040561287,0.015488103,0.02288885,0.02762388,0.04390578
102,EBR,2023-04-06 01:30:00-04:00,0.011396786,0.0,0.0,0.0008895686,0.005261504,0.011396786,0.01870218,0.022346504,0.034519415,0.04933934
103,EBR,2023-04-06 01:45:00-04:00,0.012322251,0.0,0.002048723,0.0013895351,0.009853173,0.012322251,0.015457383,0.018572379,0.023058154,0.04202097
104,EBR,2023-04-06 02:00:00-04:00,0.0054114936,0.0,0.0019140206,0.0,0.003984547,0.0054114936,0.015327893,0.014868598,0.013211813,0.039948843
